,metro,city
0,강원,강릉시
1,강원,고성군
805,강원,동해시
217,강원,삼척시
2,강원,속초시
80,강원,양구군
220,강원,양양군
221,강원,영월군
81,강원,원주시
401,강원,인제군
1831,강원,정선군
223,강원,철원군
82,강원,춘천시
225,강원,태백시
3,강원,평창군
84,강원,홍천군
228,강원,화천군
4,강원,횡성군
86,경기,가평군
5,경기,고양시
88,경기,과천시
1057,경기,광명시
6,경기,광주시
797,경기,구리시
607,경기,군포시
234,경기,김포시
235,경기,남양주시
1306,경기,동두천시
7,경기,부천시
91,경기,성남시
8,경기,수원시
9,경기,시흥시
94,경기,안산시
10,경기,안성시
96,경기,안양시
617,경기,양주시
97,경기,양평군
2443,경기,여주군
11,경기,여주시
99,경기,연천군
621,경기,오산시
12,경기,용인시
13,경기,의왕시
841,경기,의정부시
248,경기,이천시
102,경기,파주시
14,경기,평택시
104,경기,포천시
105,경기,하남시
15,경기,화성시
107,경남,거제시
434,경남,거창군
108,경남,고성군
256,경남,김해시
634,경남,남해군
2461,경남,마산시
109,경남,밀양시
110,경남,사천시
111,경남,산청군
16,경남,양산시
261,경남,의령군
17,경남,진주시
2468,경남,진해시
114,경남,창녕군
115,경남,창원시
643,경남,통영시
116,경남,하동군
266,경남,함안군
267,경남,함양군
268,경남,합천군
269,경북,경산시
18,경북,경주시
271,경북,고령군
118,경북,구미시
273,경북,군위군
119,경북,김천시
120,경북,문경시
121,경북,봉화군
19,경북,상주시
20,경북,성주군
124,경북,안동시
125,경북,영덕군
126,경북,영양군
21,경북,영주시
128,경북,영천시
284,경북,예천군
1362,경북,울진군
22,경북,의성군
130,경북,청도군
131,경북,청송군
23,경북,칠곡군
24,경북,포항시
25,광주,광산구
888,광주,남구
26,광주,동구
136,광주,북구
473,광주,서구
1373,대구,남구
27,대구,달서구
475,대구,달성군
138,대구,동구
28,대구,북구
1643,대구,서구
140,대구,수성구
2813,대구,중구
141,대전,대덕구
298,대전,동구
142,대전,서구
143,대전,유성구
483,대전,중구
29,부산,강서구
145,부산,금정구
146,부산,기장군
686,부산,남구
304,부산,동구
147,부산,동래구
908,부산,부산진구
689,부산,북구
306,부산,사상구
148,부산,사하구
1660,부산,서구
308,부산,수영구
309,부산,연제구
914,부산,영도구
149,부산,중구
2225,부산,해운대
916,부산,해운대구
30,서울,강남구
151,서울,강동구
1154,서울,강북구
31,서울,강서구
1156,서울,관악구
920,서울,광진구
698,서울,구로구
699,서울,금천구
700,서울,노원구
701,서울,도봉구
1162,서울,동대문구
925,서울,동작구
314,서울,마포구
498,서울,서대문구
704,서울,서초구
1414,서울,성동구
315,서울,성북구
32,서울,송파구
317,서울,양천구
318,서울,영등포구
154,서울,용산구
504,서울,은평구
33,서울,종로구
1422,서울,중구
1423,서울,중랑구
1424,세종,세종
34,울산,남구
322,울산,동구
323,울산,북구
35,울산,울주군
510,울산,중구
36,인천,강화군
1431,인천,계양구
159,인천,남구
513,인천,남동구
2566,인천,동구
3487,인천,미추홀구
720,인천,부평구
160,인천,서구
1980,인천,연수구
37,인천,옹진군
329,인천,중구
38,전남,강진군
39,전남,고흥군
332,전남,곡성군
40,전남,광양시
1190,전남,구례군
41,전남,나주시
42,전남,담양군
43,전남,목포시
168,전남,무안군
44,전남,보성군
45,전남,순천시
527,전남,신안군
340,전남,여수시
171,전남,영광군
46,전남,영암군
343,전남,완도군
173,전남,장성군
47,전남,장흥군
346,전남,진도군
48,전남,함평군
49,전남,해남군
177,전남,화순군
50,전북,고창군
351,전북,군산시
51,전북,김제시
3518,전북,남원군
52,전북,남원시
53,전북,무주군
54,전북,부안군
55,전북,순창군
56,전북,완주군
185,전북,익산시
186,전북,임실군
360,전북,장수군
57,전북,전주시
58,전북,정읍시
189,전북,진안군
190,제주,서귀포시
59,제주,제주시
60,충남,계룡시
61,충남,공주시
556,충남,금산군
62,충남,논산시
2614,충남,당진군
195,충남,당진시
370,충남,보령시
371,충남,부여군
63,충남,서산시
197,충남,서천군
64,충남,아산시
65,충남,연기군
200,충남,예산군
66,충남,천안시
76,충남,청양군
67,충남,태안군
68,충남,홍성군
69,충북,괴산군
1493,충북,단양군
205,충북,보은군
70,충북,영동군
71,충북,옥천군
72,충북,음성군
209,충북,제천시
210,충북,증평군
73,충북,진천군
1501,충북,청원군
74,충북,청주시
75,충북,충주시
